Date,Close,High,Low,Open,Volume,Oil_Price,USD_Index,Silver_Price,SP500,Bond_Yield_10Y,VIX_Index,FED_Rate,CPI_Inflation,Real_Yield_10Y
8/28/2000,277,278.29998779296875,273.8999938964844,273.8999938964844,0,32.04999923706055,111.3499984741211,,1506.449951171875,5.7210001945495605,16.530000686645508,6.5,172.7,2.46
9/4/2000,273.29998779296875,275.79998779296875,273.29998779296875,275.79998779296875,127,33.380001068115234,111.41999816894531,5.004000186920166,1520.77002,5.675000190734863,17.530000686645508,6.52,173.6,2.46
9/11/2000,272.29998779296875,273.1000061035156,272.29998779296875,273.1000061035156,0,33.70000076293945,114.33999633789062,4.922999858856201,1494.5,5.723999977111816,18.459999084472656,6.52,173.6,2.46
9/18/2000,271.79998779296875,271.8999938964844,269,271.3999938964844,0,35.849998474121094,115.94000244140625,4.868000030517578,1465.810059,5.833000183105469,18.520000457763672,6.52,173.6,2.46
9/25/2000,273.6000061035156,278.3999938964844,272,274.1000061035156,4164,32.650001525878906,113.55999755859375,4.909999847412109,1448.719970703125,5.828999996185303,20.739999771118164,6.52,173.6,2.46
10/2/2000,269.29998779296875,273.5,269.29998779296875,272.79998779296875,205,30.860000610351562,113.25,4.899000168,1436.510009765625,5.7779998779296875,20.56999969482422,6.51,173.9,2.46
10/9/2000,272.3999938964844,276.3999938964844,269.1000061035156,269.1000061035156,38,30.850000381469727,114.8499984741211,4.882999897003174,1408.989990234375,5.815999984741211,22.709999084472656,6.51,173.9,2.46
10/16/2000,271.20001220703125,271.5,270.1000061035156,271.5,38,35.04999923706055,115.86000061035156,4.882999897003174,1374.1700439453125,5.715000152587891,27.600000381469727,6.51,173.9,2.46
10/23/2000,264.3999938964844,271.70001220703125,264.3999938964844,271.70001220703125,38,34.29999923706055,117.16000366210938,4.828000068664551,1396.9300537109375,5.636000156402588,24.239999771118164,6.51,173.9,2.46
10/30/2000,264.6000061035156,265,263.8999938964844,264.29998779296875,2,32.70000076293945,117.38999938964844,4.745999813079834,1379.5799560546875,5.710999965667725,26.469999313354492,6.51,173.9,2.46
11/6/2000,264.5,265.79998779296875,264.29998779296875,264.5,0,32.599998474121094,114.97000122070312,4.741000175476074,1426.689941,5.803999900817871,23.670000076293945,6.51,174.2,2.46
11/13/2000,265.70001220703125,265.79998779296875,264.29998779296875,264.29998779296875,110,34.09000015258789,115.79000091552734,4.706999778747559,1365.97998,5.795000076293945,28.530000686645508,6.51,174.2,2.46
11/20/2000,266.29998779296875,266.29998779296875,265.70001220703125,266.29998779296875,0,35.599998474121094,117.30999755859375,4.644999980926514,1367.719970703125,5.693999767303467,24.809999465942383,6.51,174.2,2.46
11/27/2000,268.70001220703125,272,265.79998779296875,270.1000061035156,32687,35.400001525878906,118.4800033569336,4.625,1341.77002,5.622000217437744,26,6.51,174.2,2.46
12/4/2000,272.20001220703125,276,269.8999938964844,271,781,32.04999923706055,114.7300033569336,4.639999866485596,1315.22998,5.513000011444092,27.479999542236328,6.4,174.6,2.46
12/11/2000,270.3999938964844,270.70001220703125,268,270.70001220703125,201,28.5,114.05000305175781,4.6479997634887695,1369.8900146484375,5.343999862670898,22.40999984741211,6.4,174.6,2.46
12/18/2000,273.70001220703125,274,269,270,348,28.850000381469727,112.9000015258789,4.563000202178955,1312.1500244140625,5.176000118255615,26.549999237060547,6.4,174.6,2.46
12/25/2000,272,275.20001220703125,271.70001220703125,273.20001220703125,2,26.18000030517578,110.81999969482422,4.611000061035156,1305.949951171875,5.001999855041504,27.549999237060547,6.4,174.6,2.46
1/1/2001,268,268.3999938964844,267.29998779296875,268.3999938964844,2,26.799999237060547,109.55999755859375,4.585000038146973,1320.280029296875,5.110000133514404,26.850000381469727,5.98,175.6,2.46
1/8/2001,263.8999938964844,268,263.8999938964844,268,0,28,108.41999816894531,4.554999828338623,1298.3499755859375,4.947999954223633,28.670000076293945,5.98,175.6,2.46
1/15/2001,264.29998779296875,264.29998779296875,263.20001220703125,263.29998779296875,0,30.049999237060547,109.36000061035156,4.622000217437744,1318.550048828125,5.230000019073486,24.559999465942383,5.98,175.6,2.46
1/22/2001,262.79998779296875,266.3999938964844,262.79998779296875,266.3999938964844,0,32.099998474121094,110.66000366210938,4.749000072479248,1342.540039,5.173999786376953,23.239999771118164,5.98,175.6,2.46
1/29/2001,267.1000061035156,268.8999938964844,262.79998779296875,262.79998779296875,18326,29.780000686645508,111.45999908447266,4.804999828338623,1354.949951171875,5.252999782562256,22.56999969482422,5.98,175.6,2.46
2/5/2001,259.8999938964844,265.79998779296875,259,265.1000061035156,396,31.25,110.31999969482422,4.768000126,1349.469970703125,5.138000011444092,21.950000762939453,5.49,176,2.46
2/12/2001,258.20001220703125,262.5,255,262.5,72,31.049999237060547,111.5199966430664,4.552999973297119,1314.760009765625,5.015999794006348,22.030000686645508,5.49,176,2.46
2/19/2001,260.8999938964844,260.8999938964844,255,256.1000061035156,80,29.15999984741211,112.26000213623047,4.487999916,1301.530029296875,5.0929999351501465,22.12000084,5.49,176,2.46
2/26/2001,262.1000061035156,267.3999938964844,261.5,262,1,29,112.02999877929688,4.431000232696533,1245.8599853515625,5.079999923706055,27.209999084472656,5.49,176,2.46
3/5/2001,270.79998779296875,270.79998779296875,259,262.5,31,27.84000015258789,111.16999816894531,4.419000148773193,1234.1800537109375,4.942999839782715,27.43000030517578,5.31,176.1,2.46
3/12/2001,258.1000061035156,271.6000061035156,257,271.6000061035156,10,27.799999237060547,111.44000244140625,4.487999916,1233.4200439453125,4.931000232696533,25.62000084,5.31,176.1,2.46
3/19/2001,261.5,261.8999938964844,259.79998779296875,259.79998779296875,1,26.700000762939453,115.31999969482422,4.288000106811523,1150.530029296875,4.751999855041504,29.90999984741211,5.31,176.1,2.46
3/26/2001,257.8999938964844,261.8999938964844,256.6000061035156,261.8999938964844,31119,27.299999237060547,115.94000244140625,4.3420000076293945,1139.8299560546875,4.798999786376953,30.450000762939453,5.31,176.1,2.46
4/2/2001,260,260.5,255,257.20001220703125,1193,26.399999618530273,117.37000274658203,4.2779998779296875,1160.3299560546875,4.914999961853027,28.639999389648438,4.8,176.4,2.46
